"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaoration rate experiment"
"12/04/2024 14:12:22:463 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks"
"545","54","125","50","2090","2090"
"548","54","125","50","1602","1602"
"547","54","125","50","2170","2170"
"551","55","125","50","2006","2006"
"550","54","125","50","1901","1901"
"553","55","125","50","1499","1499"
"549","54","125","50","1824","1824"
"552","55","125","50","2119","2119"
"554","55","125","50","1945","1945"
"555","55","125","50","1990","1990"
"559","55","125","50","1900","1900"
"557","55","125","50","1670","1670"
"558","55","125","50","1836","1836"
"556","55","125","50","2296","2296"
"560","55","125","50","2176","2176"
"561","56","125","50","1731","1731"
"565","56","125","50","1459","1459"
"562","56","125","50","1949","1949"
"567","56","125","50","1917","1917"
"563","56","125","50","1949","1949"
"566","56","125","50","1894","1894"
"568","56","125","50","1768","1768"
"564","56","125","50","2027","2027"
"571","57","125","50","1679","1679"
"569","56","125","50","1807","1807"
"572","57","125","50","1839","1839"
"570","56","125","50","1990","1990"
"575","57","125","50","1834","1834"
"573","57","125","50","2131","2131"
"577","57","125","50","1826","1826"
"579","57","125","50","1806","1806"
"580","57","125","50","1872","1872"
"578","57","125","50","2180","2180"
"574","57","125","50","2119","2119"
"576","57","125","50","1791","1791"
"581","58","125","50","1699","1699"
"582","58","125","50","1934","1934"
"584","58","125","50","1776","1776"
"583","58","125","50","1895","1895"
"585","58","125","50","1697","1697"
"588","58","125","50","1642","1642"
"587","58","125","50","1634","1634"
"594","59","125","50","1750","1750"
"589","58","125","50","1994","1994"
"586","58","125","50","2205","2205"
"593","59","125","50","1892","1892"
"592","59","125","50","1861","1861"
"597","59","125","50","1655","1655"
"595","59","125","50","1795","1795"
"590","58","125","50","1853","1853"
"591","59","125","50","1846","1846"
"599","59","125","50","1710","1710"
"596","59","125","50","1712","1712"
"598","59","125","50","1617","1617"
"600","59","125","50","1651","1651"
"604","60","125","50","1820","1820"
"602","60","125","50","1933","1933"
"601","60","125","50","1627","1627"
"603","60","125","50","1949","1949"
"608","60","125","50","1951","1951"
"605","60","125","50","1801","1801"
"610","60","125","50","1507","1507"
"606","60","125","50","1881","1881"
"609","60","125","50","1990","1990"
"612","61","125","50","1804","1804"
"607","60","125","50","2051","2051"
"611","61","125","50","1893","1893"
"614","61","125","50","1645","1645"
"613","61","125","50","1988","1988"
"616","61","125","50","1847","1847"
"615","61","125","50","1512","1512"
"617","61","125","50","1662","1662"
"621","62","125","50","1658","1658"
"618","61","125","50","1781","1781"
"620","61","125","50","1683","1683"
"619","61","125","50","1830","1830"
"623","62","125","50","1735","1735"
"624","62","125","50","1747","1747"
"625","62","125","50","1978","1978"
"626","62","125","50","1940","1940"
"622","62","125","50","1975","1975"
"627","62","125","50","1976","1976"
"629","62","125","50","1529","1529"
"628","62","125","50","1768","1768"
"630","62","125","50","1620","1620"
"631","63","125","50","1685","1685"
"636","63","125","50","1768","1768"
"632","63","125","50","1782","1782"
"633","63","125","50","1814","1814"
"634","63","125","50","1818","1818"
"635","63","125","50","1758","1758"
"639","63","125","50","1846","1846"
"637","63","125","50","1598","1598"
"640","63","125","50","1462","1462"
"642","64","125","50","1724","1724"
"641","64","125","50","1775","1775"
"638","63","125","50","2122","2122"
"643","64","125","50","1885","1885"
"645","64","125","50","1374","1374"
"646","64","125","50","1675","1675"
"648","64","125","50","1594","1594"
"644","64","125","50","1797","1797"
"647","64","125","50","1760","1760"
"650","64","125","50","1606","1606"
"649","64","125","50","1599","1599"
"654","65","125","50","1837","1837"
"655","65","125","50","1660","1660"
"657","65","125","50","1793","1793"
"653","65","125","50","1886","1886"
"652","65","125","50","1831","1831"
"651","65","125","50","2049","2049"
"659","65","125","50","1674","1674"
"656","65","125","50","1892","1892"
"658","65","125","50","1760","1760"
"662","66","125","50","1871","1871"
"660","65","125","50","2165","2165"
"663","66","125","50","1641","1641"
"665","66","125","50","1666","1666"
"661","66","125","50","1779","1779"
"666","66","125","50","1669","1669"
"664","66","125","50","2096","2096"
"667","66","125","50","1807","1807"
"668","66","125","50","1636","1636"
"671","67","125","50","1544","1544"
"669","66","125","50","1922","1922"
"670","66","125","50","1598","1598"
"673","67","125","50","1474","1474"
