"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"395","15","125","50","1590","1590","1590","624","230"
"390","15","125","50","2605","2605","2605","555","231"
"396","15","125","50","2409","2409","2409","449","251"
"389","15","125","50","3051","3051","3051","587","200"
"391","15","125","50","2666","2666","2666","540","187"
"397","15","125","50","2146","2146","2146","323","273"
"393","15","125","50","2865","2865","2865","292","424"
"394","15","125","50","2437","2437","2437","537","171"
"398","15","125","50","2757","2757","2757","556","189"
"392","15","125","50","3106","3106","3106","572","208"
"399","15","125","50","3112","3112","3112","528","188"
"403","20","125","50","2531","2531","2531","840","384"
"400","15","125","50","3006","3006","3006","551","213"
"401","20","125","50","3037","3037","3037","814","224"
"405","20","125","50","2661","2661","2661","572","245"
"402","20","125","50","2978","2978","2978","774","234"
"404","20","125","50","3000","3000","3000","895","210"
"407","20","125","50","2980","2980","2980","396","195"
"409","20","125","50","3187","3187","3187","768","248"
"406","20","125","50","2861","2861","2861","1623","236"
"410","20","125","50","2912","2912","2912","1146","254"
"412","20","125","50","3052","3052","3052","410","336"
"411","20","125","50","2669","2669","2669","582","284"
"413","20","125","50","2515","2515","2515","1142","254"
"417","20","125","50","2285","2285","2285","805","247"
"408","20","125","50","3310","3310","3310","1037","228"
"414","20","125","50","3035","3035","3035","879","235"
"415","20","125","50","3231","3231","3231","555","232"
"418","20","125","50","2684","2684","2684","446","381"
"419","20","125","50","2996","2996","2996","1418","226"
"423","20","125","50","2171","2171","2171","980","219"
"416","20","125","50","3223","3223","3223","1634","190"
"420","20","125","50","2692","2692","2692","963","260"
"422","20","125","50","2899","2899","2899","1295","231"
"424","20","125","50","2499","2499","2499","577","252"
"421","20","125","50","2787","2787","2787","1623","259"
"428","20","125","50","2550","2550","2550","897","267"
"430","20","125","50","2822","2822","2822","951","251"
"425","20","125","50","2841","2841","2841","618","219"
"427","20","125","50","2819","2819","2819","892","217"
"429","20","125","50","2792","2792","2792","1032","240"
"434","20","125","50","2808","2808","2808","1287","231"
"431","20","125","50","3075","3075","3075","953","239"
"426","20","125","50","3012","3012","3012","619","234"
"432","20","125","50","2942","2942","2942","1017","217"
"435","20","125","50","2712","2712","2712","567","192"
"433","20","125","50","2639","2639","2639","1457","249"
"438","20","125","50","2705","2705","2705","1052","343"
"439","20","125","50","2207","2207","2207","871","222"
"437","20","125","50","2776","2776","2776","697","241"
"442","20","125","50","2980","2980","2980","1281","213"
"436","20","125","50","3372","3372","3372","1262","233"
"440","20","125","50","2663","2663","2663","546","236"
"441","20","125","50","2926","2926","2926","1561","294"
"446","20","125","50","2623","2623","2623","427","211"
"443","20","125","50","3162","3162","3162","1220","194"
